,Date,Confirmed,Deaths,Mortality Rate
Hong Kong,01-22-2020,0.0,0.0,
China,01-22-2020,547.0,17.0,3.1078610603290677
Japan,01-22-2020,2.0,0.0,0.0
Thailand,01-22-2020,2.0,0.0,0.0
Macau,01-22-2020,1.0,0.0,0.0
South Korea,01-22-2020,1.0,0.0,0.0
Taiwan,01-22-2020,1.0,0.0,0.0
US,01-22-2020,1.0,0.0,0.0
Malaysia,01-23-2020,0.0,0.0,
Colombia,01-23-2020,0.0,0.0,
Brazil,01-23-2020,0.0,0.0,
Australia,01-23-2020,0.0,0.0,
US,01-23-2020,1.0,0.0,0.0
Taiwan,01-23-2020,1.0,0.0,0.0
South Korea,01-23-2020,1.0,0.0,0.0
Macau,01-23-2020,2.0,0.0,0.0
Japan,01-23-2020,1.0,0.0,0.0
Vietnam,01-23-2020,2.0,0.0,0.0
Mexico,01-23-2020,0.0,0.0,
Hong Kong,01-23-2020,2.0,0.0,0.0
Thailand,01-23-2020,3.0,0.0,0.0
China,01-23-2020,639.0,18.0,2.8169014084507045
Singapore,01-23-2020,1.0,0.0,0.0
Philippines,01-23-2020,0.0,0.0,
US,01-24-2020,2.0,0.0,0.0
Vietnam,01-24-2020,2.0,0.0,0.0
Taiwan,01-24-2020,3.0,0.0,0.0
South Korea,01-24-2020,2.0,0.0,0.0
Macau,01-24-2020,2.0,0.0,0.0
Japan,01-24-2020,2.0,0.0,0.0
Hong Kong,01-24-2020,2.0,0.0,0.0
France,01-24-2020,2.0,0.0,0.0
Singapore,01-24-2020,3.0,0.0,0.0
Thailand,01-24-2020,5.0,0.0,0.0
China,01-24-2020,916.0,26.0,2.8384279475982535
China,01-25-2020,1399.0,42.0,3.0021443888491777
Nepal,01-25-2020,1.0,0.0,0.0
Thailand,01-25-2020,7.0,0.0,0.0
US,01-25-2020,2.0,0.0,0.0
South Korea,01-25-2020,2.0,0.0,0.0
Macau,01-25-2020,2.0,0.0,0.0
Japan,01-25-2020,2.0,0.0,0.0
Taiwan,01-25-2020,3.0,0.0,0.0
Singapore,01-25-2020,3.0,0.0,0.0
Malaysia,01-25-2020,3.0,0.0,0.0
France,01-25-2020,3.0,0.0,0.0
Hong Kong,01-25-2020,5.0,0.0,0.0
Vietnam,01-25-2020,2.0,0.0,0.0
Australia,01-25-2020,4.0,0.0,0.0
Vietnam,01-26-2020,2.0,0.0,0.0
South Korea,01-26-2020,3.0,0.0,0.0
France,01-26-2020,3.0,0.0,0.0
Taiwan,01-26-2020,4.0,0.0,0.0
Singapore,01-26-2020,4.0,0.0,0.0
US,01-26-2020,5.0,0.0,0.0
Japan,01-26-2020,4.0,0.0,0.0
Australia,01-26-2020,4.0,0.0,0.0
Macau,01-26-2020,5.0,0.0,0.0
Canada,01-26-2020,1.0,0.0,0.0
Thailand,01-26-2020,8.0,0.0,0.0
Malaysia,01-26-2020,4.0,0.0,0.0
Nepal,01-26-2020,1.0,0.0,0.0
China,01-26-2020,2062.0,56.0,2.7158098933074686
Hong Kong,01-26-2020,8.0,0.0,0.0
Hong Kong,01-27-2020,8.0,0.0,0.0
Canada,01-27-2020,1.0,0.0,0.0
Ivory Coast,01-27-2020,1.0,0.0,0.0
Sri Lanka,01-27-2020,1.0,0.0,0.0
Cambodia,01-27-2020,1.0,0.0,0.0
Nepal,01-27-2020,1.0,0.0,0.0
France,01-27-2020,3.0,0.0,0.0
Japan,01-27-2020,4.0,0.0,0.0
Malaysia,01-27-2020,4.0,0.0,0.0
Taiwan,01-27-2020,5.0,0.0,0.0
US,01-27-2020,5.0,0.0,0.0
Singapore,01-27-2020,5.0,0.0,0.0
Australia,01-27-2020,5.0,0.0,0.0
China,01-27-2020,2863.0,82.0,2.8641285365001745
Thailand,01-27-2020,8.0,0.0,0.0
Macau,01-27-2020,6.0,0.0,0.0
Vietnam,01-27-2020,2.0,0.0,0.0
South Korea,01-27-2020,4.0,0.0,0.0
Taiwan,01-28-2020,8.0,0.0,0.0
China,01-28-2020,5494.0,131.0,2.3844193665817257
Thailand,01-28-2020,14.0,0.0,0.0
Germany,01-28-2020,4.0,0.0,0.0
Malaysia,01-28-2020,4.0,0.0,0.0
South Korea,01-28-2020,4.0,0.0,0.0
US,01-28-2020,5.0,0.0,0.0
Australia,01-28-2020,5.0,0.0,0.0
Macau,01-28-2020,7.0,0.0,0.0
Japan,01-28-2020,7.0,0.0,0.0
France,01-28-2020,4.0,0.0,0.0
Canada,01-28-2020,2.0,0.0,0.0
Vietnam,01-28-2020,2.0,0.0,0.0
Nepal,01-28-2020,1.0,0.0,0.0
Cambodia,01-28-2020,1.0,0.0,0.0
Sri Lanka,01-28-2020,1.0,0.0,0.0
Singapore,01-28-2020,7.0,0.0,0.0
Hong Kong,01-28-2020,8.0,0.0,0.0
Malaysia,01-29-2020,7.0,0.0,0.0
Sri Lanka,01-29-2020,1.0,0.0,0.0
Nepal,01-29-2020,1.0,0.0,0.0
Cambodia,01-29-2020,1.0,0.0,0.0
Vietnam,01-29-2020,2.0,0.0,0.0
Canada,01-29-2020,2.0,0.0,0.0
United Arab Emirates,01-29-2020,4.0,0.0,0.0
South Korea,01-29-2020,4.0,0.0,0.0
Germany,01-29-2020,4.0,0.0,0.0
Taiwan,01-29-2020,8.0,0.0,0.0
France,01-29-2020,5.0,0.0,0.0
Hong Kong,01-29-2020,10.0,0.0,0.0
Thailand,01-29-2020,14.0,0.0,0.0
China,01-29-2020,6070.0,133.0,2.191103789126853
Singapore,01-29-2020,7.0,0.0,0.0
Finland,01-29-2020,1.0,0.0,0.0
Macau,01-29-2020,7.0,0.0,0.0
US,01-29-2020,5.0,0.0,0.0
Australia,01-29-2020,5.0,0.0,0.0
Japan,01-29-2020,7.0,0.0,0.0
Hong Kong,01-30-2020,10.0,0.0,0.0
Australia,01-30-2020,9.0,0.0,0.0
Taiwan,01-30-2020,9.0,0.0,0.0
Malaysia,01-30-2020,8.0,0.0,0.0
Macau,01-30-2020,7.0,0.0,0.0
France,01-30-2020,5.0,0.0,0.0
US,01-30-2020,5.0,0.0,0.0
Germany,01-30-2020,4.0,0.0,0.0
United Arab Emirates,01-30-2020,4.0,0.0,0.0
Canada,01-30-2020,3.0,0.0,0.0
Vietnam,01-30-2020,2.0,0.0,0.0
Singapore,01-30-2020,10.0,0.0,0.0
Nepal,01-30-2020,1.0,0.0,0.0
Philippines,01-30-2020,1.0,0.0,0.0
Sri Lanka,01-30-2020,1.0,0.0,0.0
Finland,01-30-2020,1.0,0.0,0.0
South Korea,01-30-2020,4.0,0.0,0.0
