US,213372,4757,2.2294
Canada,9560,109,1.1402
United Kingdom,29865,2357,7.8922
China,82361,3316,4.0262
Netherlands,13696,1175,8.5791
Australia,4862,20,0.4114
Denmark,3290,104,3.1611
France,57749,4043,7.001
Afghanistan,237,4,1.6878
Albania,259,15,5.7915
Algeria,847,58,6.8477
Andorra,390,14,3.5897
Angola,8,2,25.0
Antigua and Barbuda,7,0,0.0
Argentina,1054,28,2.6565
Armenia,571,4,0.7005
Austria,10711,146,1.3631
Azerbaijan,359,5,1.3928
Bahamas,21,1,4.7619
Bahrain,569,4,0.703
Bangladesh,54,6,11.1111
Barbados,34,0,0.0
Belarus,163,2,1.227
Belgium,13964,828,5.9295
Belize,3,0,0.0
Benin,13,0,0.0
Bhutan,4,0,0.0
Bolivia,115,7,6.087
Bosnia and Herzegovina,459,13,2.8322
Botswana,4,1,25.0
Brazil,6836,240,3.5108
Brunei,131,1,0.7634
Bulgaria,422,10,2.3697
Burkina Faso,282,16,5.6738
Burma,15,1,6.6667
Burundi,2,0,0.0
Cabo Verde,6,1,16.6667
Cambodia,109,0,0.0
Cameroon,233,6,2.5751
Central African Republic,3,0,0.0
Chad,7,0,0.0
Chile,3031,16,0.5279
Colombia,1065,17,1.5962
Congo (Brazzaville),19,0,0.0
Congo (Kinshasa),109,9,8.2569
Costa Rica,375,2,0.5333
Cote d'Ivoire,190,1,0.5263
Croatia,963,6,0.6231
Cuba,212,6,2.8302
Cyprus,320,9,2.8125
Czechia,3508,39,1.1117
Diamond Princess,712,11,1.5449
Djibouti,33,0,0.0
Dominica,12,0,0.0
Dominican Republic,1284,57,4.4393
Ecuador,2748,93,3.3843
Egypt,779,52,6.6752
El Salvador,32,1,3.125
Equatorial Guinea,15,0,0.0
Eritrea,15,0,0.0
Estonia,779,5,0.6418
Eswatini,9,0,0.0
Ethiopia,29,0,0.0
Fiji,5,0,0.0
Finland,1446,17,1.1757
Gabon,18,1,5.5556
Gambia,4,1,25.0
Georgia,117,0,0.0
Germany,77872,920,1.1814
Ghana,195,5,2.5641
Greece,1415,50,3.5336
Grenada,9,0,0.0
Guatemala,39,1,2.5641
Guinea,30,0,0.0
Guinea-Bissau,9,0,0.0
Guyana,19,2,10.5263
Haiti,16,0,0.0
Holy See,6,0,0.0
Honduras,172,10,5.814
Hungary,525,20,3.8095
Iceland,1220,2,0.1639
India,1998,58,2.9029
Indonesia,1677,157,9.362
Iran,47593,3036,6.3791
Iraq,728,52,7.1429
Ireland,3447,85,2.4659
Israel,6092,26,0.4268
Italy,110574,13155,11.897
Jamaica,44,3,6.8182
Japan,2178,57,2.6171
Jordan,278,5,1.7986
Kazakhstan,380,3,0.7895
Kenya,81,1,1.2346
"Korea, South",9887,165,1.6689
Kosovo,125,1,0.8
Kuwait,317,0,0.0
Kyrgyzstan,111,0,0.0
Laos,10,0,0.0
Latvia,446,0,0.0
Lebanon,479,14,2.9228
Liberia,6,0,0.0
Libya,10,0,0.0
Liechtenstein,68,0,0.0
Lithuania,581,8,1.3769
Luxembourg,2319,29,1.2505
MS Zaandam,9,2,22.2222
Madagascar,57,0,0.0
Malaysia,2908,45,1.5475
Maldives,19,0,0.0
Mali,31,3,9.6774
Malta,188,0,0.0
Mauritania,6,1,16.6667
Mauritius,161,6,3.7267
Mexico,1215,29,2.3868
Moldova,423,5,1.182
Monaco,55,1,1.8182
Mongolia,14,0,0.0
Montenegro,123,2,1.626
Morocco,654,39,5.9633
Mozambique,10,0,0.0
Namibia,14,0,0.0
Nepal,5,0,0.0
New Zealand,708,1,0.1412
Nicaragua,5,1,20.0
Niger,74,5,6.7568
Nigeria,174,2,1.1494
North Macedonia,354,11,3.1073
Norway,4863,44,0.9048
Oman,210,1,0.4762
Pakistan,2118,27,1.2748
Panama,1181,30,2.5402
Papua New Guinea,1,0,0.0
Paraguay,69,3,4.3478
Peru,1323,38,2.8723
Philippines,2311,96,4.154
Poland,2554,43,1.6836
Portugal,8251,187,2.2664
Qatar,835,2,0.2395
Romania,2460,92,3.7398
Russia,2777,24,0.8642
Rwanda,82,0,0.0
Saint Kitts and Nevis,8,0,0.0
Saint Lucia,13,0,0.0
Saint Vincent and the Grenadines,1,0,0.0
San Marino,236,26,11.0169
Saudi Arabia,1720,16,0.9302
Senegal,190,1,0.5263
Serbia,1060,28,2.6415
Seychelles,10,0,0.0
Sierra Leone,2,0,0.0
Singapore,1000,3,0.3
Slovakia,400,1,0.25
Slovenia,841,15,1.7836
Somalia,5,0,0.0
South Africa,1380,5,0.3623
Spain,104118,9387,9.0157
Sri Lanka,146,3,2.0548
Sudan,7,2,28.5714
Suriname,10,0,0.0
Sweden,4947,239,4.8312
Switzerland,17768,488,2.7465
Syria,10,2,20.0
Taiwan*,329,5,1.5198
Tanzania,20,1,5.0
Thailand,1771,12,0.6776
Timor-Leste,1,0,0.0
Togo,36,2,5.5556
Trinidad and Tobago,90,5,5.5556
Tunisia,423,12,2.8369
Turkey,15679,277,1.7667
Uganda,44,0,0.0
Ukraine,794,20,2.5189
United Arab Emirates,814,8,0.9828
Uruguay,338,2,0.5917
Uzbekistan,181,2,1.105
Venezuela,143,3,2.0979
Vietnam,218,0,0.0
West Bank and Gaza,134,1,0.7463
Zambia,36,0,0.0
Zimbabwe,8,1,12.5
