Country/Region,Confirmed,Deaths,Mortality Rate
Mainland China,30553,632,2.0685366412463586
Japan,45,0,0.0
Singapore,28,0,0.0
Thailand,25,0,0.0
Hong Kong,24,1,4.166666666666666
South Korea,23,0,0.0
Taiwan,16,0,0.0
Australia,14,0,0.0
US,12,0,0.0
Germany,12,0,0.0
Malaysia,12,0,0.0
Vietnam,10,0,0.0
Macau,10,0,0.0
France,6,0,0.0
Canada,5,0,0.0
United Arab Emirates,5,0,0.0
India,3,0,0.0
Italy,2,0,0.0
Philippines,2,1,50.0
Russia,2,0,0.0
UK,2,0,0.0
Belgium,1,0,0.0
Spain,1,0,0.0
Sri Lanka,1,0,0.0
Sweden,1,0,0.0
Finland,1,0,0.0
Cambodia,1,0,0.0
Nepal,1,0,0.0
