Country_Region,Confirmed,Deaths,Mortality Rate
China,81397,3265,4.011204344140448
Italy,59138,5476,9.259697656329264
US,33848,427,1.2615220987946112
Spain,28603,1756,6.1392161661364195
Germany,24873,94,0.3779198327503719
Iran,21638,1685,7.78722617617155
France,16214,676,4.169236462316517
"Korea, South",8897,104,1.1689333483196582
Switzerland,7474,98,1.3112122023013113
United Kingdom,5741,282,4.912036230621843
Netherlands,4217,180,4.268437277685559
Austria,3580,16,0.44692737430167595
Belgium,3401,75,2.2052337547780065
Norway,2263,7,0.30932390631904555
Sweden,1931,21,1.0875194199896427
Portugal,1600,14,0.8750000000000001
Brazil,1546,25,1.6170763260025873
Denmark,1514,13,0.8586525759577279
Australia,1490,7,0.4697986577181208
Canada,1470,21,1.4285714285714286
Malaysia,1306,10,0.7656967840735069
Turkey,1236,30,2.4271844660194173
Czechia,1120,1,0.08928571428571429
Japan,1086,36,3.314917127071823
Israel,1071,1,0.09337068160597572
Ireland,906,4,0.44150110375275936
Luxembourg,798,8,1.0025062656641603
Ecuador,789,14,1.7743979721166032
Pakistan,776,4,0.5154639175257731
Cruise Ship,712,8,1.1235955056179776
Poland,634,7,1.1041009463722398
Chile,632,1,0.15822784810126583
Finland,626,1,0.1597444089456869
Greece,624,15,2.403846153846154
Thailand,599,1,0.1669449081803005
Iceland,568,1,0.17605633802816903
Indonesia,514,48,9.33852140077821
Saudi Arabia,511,0,0.0
Qatar,494,0,0.0
Singapore,455,2,0.43956043956043955
Romania,433,3,0.6928406466512702
Slovenia,414,2,0.4830917874396135
India,396,7,1.7676767676767675
Philippines,380,25,6.578947368421052
Russia,367,1,0.2724795640326975
Peru,363,5,1.3774104683195594
Bahrain,334,2,0.5988023952095809
Egypt,327,14,4.281345565749235
Estonia,326,0,0.0
Panama,313,3,0.9584664536741214
South Africa,274,0,0.0
Argentina,266,4,1.5037593984962405
Croatia,254,1,0.39370078740157477
Mexico,251,2,0.796812749003984
Lebanon,248,4,1.6129032258064515
Iraq,233,20,8.583690987124463
Colombia,231,2,0.8658008658008658
Serbia,222,2,0.9009009009009009
Dominican Republic,202,3,1.4851485148514851
Algeria,201,17,8.45771144278607
Armenia,194,0,0.0
Kuwait,188,0,0.0
Bulgaria,187,3,1.6042780748663104
Slovakia,185,0,0.0
San Marino,175,20,11.428571428571429
Taiwan*,169,2,1.183431952662722
United Arab Emirates,153,2,1.3071895424836601
Latvia,139,0,0.0
Uruguay,135,0,0.0
Costa Rica,134,2,1.4925373134328357
Hungary,131,6,4.580152671755725
Lithuania,129,1,0.7751937984496124
Bosnia and Herzegovina,126,1,0.7936507936507936
North Macedonia,115,1,0.8695652173913043
Morocco,115,4,3.4782608695652173
Vietnam,113,0,0.0
Andorra,113,1,0.8849557522123894
Jordan,112,0,0.0
New Zealand,102,0,0.0
Cyprus,95,1,1.0526315789473684
Moldova,94,1,1.0638297872340425
Malta,90,0,0.0
Albania,89,2,2.247191011235955
Brunei,88,0,0.0
Cambodia,84,0,0.0
Sri Lanka,82,0,0.0
Belarus,76,0,0.0
Tunisia,75,3,4.0
Burkina Faso,75,4,5.333333333333334
Ukraine,73,3,4.10958904109589
Venezuela,70,0,0.0
Senegal,67,0,0.0
Azerbaijan,65,1,1.5384615384615385
Kazakhstan,59,0,0.0
Oman,55,0,0.0
Georgia,54,0,0.0
Trinidad and Tobago,50,0,0.0
Uzbekistan,43,0,0.0
Afghanistan,40,1,2.5
Cameroon,40,0,0.0
Liechtenstein,37,0,0.0
Cuba,35,1,2.857142857142857
Congo (Kinshasa),30,1,3.3333333333333335
Nigeria,30,0,0.0
Mauritius,28,2,7.142857142857142
Bangladesh,27,2,7.4074074074074066
Honduras,26,0,0.0
Bolivia,24,0,0.0
Ghana,23,1,4.3478260869565215
Monaco,23,0,0.0
Paraguay,22,1,4.545454545454546
Montenegro,21,0,0.0
Rwanda,19,0,0.0
Guatemala,19,1,5.263157894736842
Jamaica,19,1,5.263157894736842
Guyana,18,1,5.555555555555555
Togo,16,0,0.0
Kenya,15,0,0.0
Barbados,14,0,0.0
Cote d'Ivoire,14,0,0.0
Kyrgyzstan,14,0,0.0
Maldives,13,0,0.0
Tanzania,12,0,0.0
Ethiopia,11,0,0.0
Mongolia,10,0,0.0
Seychelles,7,0,0.0
Equatorial Guinea,6,0,0.0
Gabon,5,1,20.0
Suriname,5,0,0.0
Eswatini,4,0,0.0
Bahamas,4,0,0.0
Congo (Brazzaville),3,0,0.0
Liberia,3,0,0.0
Central African Republic,3,0,0.0
Namibia,3,0,0.0
El Salvador,3,0,0.0
Zimbabwe,3,0,0.0
Cabo Verde,3,0,0.0
Madagascar,3,0,0.0
Zambia,3,0,0.0
Bhutan,2,0,0.0
Benin,2,0,0.0
Angola,2,0,0.0
Nicaragua,2,0,0.0
Guinea,2,0,0.0
Niger,2,0,0.0
Sudan,2,1,50.0
Haiti,2,0,0.0
Saint Lucia,2,0,0.0
Fiji,2,0,0.0
Mauritania,2,0,0.0
Gambia,1,0,0.0
Antigua and Barbuda,1,0,0.0
Papua New Guinea,1,0,0.0
Saint Vincent and the Grenadines,1,0,0.0
Uganda,1,0,0.0
Grenada,1,0,0.0
Eritrea,1,0,0.0
Somalia,1,0,0.0
Dominica,1,0,0.0
Nepal,1,0,0.0
Timor-Leste,1,0,0.0
Chad,1,0,0.0
Djibouti,1,0,0.0
Holy See,1,0,0.0
Syria,1,0,0.0
Mozambique,1,0,0.0
