Country_Region,Confirmed,Deaths,Mortality Rate
US,275586,7087,2.571611039748028
Italy,119827,14681,12.25182972118137
Spain,119199,11198,9.394374113876793
Germany,91159,1275,1.3986550971379677
China,82511,3326,4.030977687823442
France,65202,6520,9.999693260942916
Iran,53183,3294,6.193708515879134
United Kingdom,38689,3611,9.333402259040037
Turkey,20921,425,2.0314516514506957
Switzerland,19606,591,3.0143833520350913
Belgium,16770,1143,6.815742397137746
Netherlands,15821,1490,9.417862334871375
Canada,12437,179,1.4392538393503256
Austria,11524,168,1.4578271433530026
"Korea, South",10062,174,1.7292784734645201
Portugal,9886,246,2.488367388225774
Brazil,9056,359,3.964222614840989
Israel,7428,40,0.5385029617662896
Sweden,6131,358,5.839177948132441
Norway,5370,59,1.0986964618249535
Australia,5330,28,0.525328330206379
Ireland,4273,120,2.808331383103206
Russia,4149,34,0.8194745721860689
Czechia,4091,53,1.295526766071865
Denmark,3946,139,3.5225544855549926
Chile,3737,22,0.5887075194005887
Poland,3383,71,2.0987289388117056
Ecuador,3368,145,4.305225653206651
Malaysia,3333,53,1.5901590159015901
Romania,3183,133,4.178448005026705
Philippines,3018,136,4.506295559973492
Pakistan,2686,40,1.4892032762472078
Japan,2617,63,2.407336645013374
Luxembourg,2612,31,1.1868300153139357
India,2567,72,2.8048305414881183
Saudi Arabia,2039,25,1.2260912211868562
Indonesia,1986,181,9.113796576032225
Thailand,1978,19,0.9605662285136503
Finland,1615,20,1.238390092879257
Greece,1613,63,3.9057656540607564
Peru,1595,61,3.8244514106583067
Mexico,1510,50,3.3112582781456954
South Africa,1505,9,0.5980066445182725
Dominican Republic,1488,68,4.56989247311828
Serbia,1476,39,2.642276422764228
Panama,1475,37,2.5084745762711864
Iceland,1364,4,0.2932551319648094
Colombia,1267,25,1.973164956590371
Argentina,1265,39,3.08300395256917
United Arab Emirates,1264,9,0.7120253164556962
Algeria,1171,105,8.9666951323655
Singapore,1114,5,0.4488330341113106
Croatia,1079,8,0.7414272474513438
Qatar,1075,3,0.27906976744186046
Ukraine,1072,27,2.5186567164179103
Egypt,985,66,6.7005076142131985
Estonia,961,12,1.2486992715920915
Slovenia,934,20,2.141327623126338
New Zealand,868,1,0.1152073732718894
Iraq,820,54,6.585365853658537
Morocco,791,48,6.06826801517067
Armenia,736,7,0.9510869565217392
Diamond Princess,712,11,1.544943820224719
Lithuania,696,9,1.293103448275862
Bahrain,672,4,0.5952380952380952
Hungary,623,26,4.173354735152488
Moldova,591,8,1.353637901861252
Bosnia and Herzegovina,579,17,2.936096718480138
Cameroon,509,8,1.5717092337917484
Lebanon,508,17,3.346456692913386
Tunisia,495,18,3.6363636363636362
Latvia,493,1,0.2028397565922921
Bulgaria,485,14,2.88659793814433
Kazakhstan,464,6,1.293103448275862
