Appling,7,0,0
Atkinson,4,0,0
Bacon,14,0,0
Baker,11,2,18.1818
Baldwin,32,1,3.125
Banks,7,0,0
Barrow,48,3,6.25
Bartow,207,15,7.2464
Ben Hill,8,0,0
Berrien,6,0,0
Bibb,56,1,1.7857
Bleckley,1,0,0
Brantley,6,1,16.6667
Brooks,17,1,5.8824
Bryan,29,2,6.8966
Bulloch,16,0,0
Burke,21,0,0
Butts,27,0,0
Calhoun,37,2,5.4054
Camden,19,0,0
Candler,4,0,0
Carroll,197,5,2.5381
Catoosa,11,0,0
Charlton,2,0,0
Chatham,136,5,3.6765
Chattahoochee,3,0,0
Chattooga,4,1,25.0
Cherokee,170,7,4.1176
Clarke,81,10,12.3457
Clay,15,1,6.6667
Clayton,310,11,3.5484
Clinch,3,0,0
Cobb,662,33,4.9849
Coffee,53,2,3.7736
Colquitt,80,5,6.25
Columbia,59,0,0
Cook,6,0,0
Coweta,90,2,2.2222
Crawford,3,0,0
Crisp,61,0,0
Dade,2,1,50.0
Dawson,24,1,4.1667
DeKalb,795,13,1.6352
Decatur,26,0,0
Dodge,9,0,0
Dooly,35,1,2.8571
Dougherty,1062,67,6.3089
Douglas,142,5,3.5211
Early,105,5,4.7619
Echols,2,0,0
Effingham,19,1,5.2632
Elbert,3,0,0
Emanuel,7,0,0
Fannin,9,0,0
Fayette,92,4,4.3478
Floyd,99,5,5.0505
Forsyth,113,2,1.7699
Franklin,3,0,0
Fulton,1364,48,3.5191
Gilmer,4,0,0
Glynn,32,0,0
Gordon,28,3,10.7143
Grady,15,0,0
Greene,25,1,4.0
Gwinnett,646,17,2.6316
Habersham,13,0,0
Hall,250,0,0
Hancock,1,0,0
Haralson,15,0,0
Harris,17,1,5.8824
Hart,3,0,0
Heard,3,1,33.3333
Henry,242,3,1.2397
Houston,111,7,6.3063
Irwin,11,0,0
Jackson,26,1,3.8462
Jasper,6,0,0
Jeff Davis,1,0,0
Jefferson,4,1,25.0
Jenkins,8,1,12.5
Johnson,14,1,7.1429
Jones,9,0,0
Lamar,15,0,0
Lanier,5,0,0
Laurens,28,1,3.5714
Lee,222,15,6.7568
Liberty,14,0,0
Lincoln,6,0,0
Long,1,0,0
Lowndes,56,1,1.7857
Lumpkin,9,0,0
Macon,18,0,0
Madison,9,1,11.1111
Marion,9,0,0
McDuffie,19,2,10.5263
McIntosh,3,0,0
Meriwether,18,0,0
Miller,10,0,0
Mitchell,131,13,9.9237
Monroe,12,1,8.3333
Morgan,14,0,0
Murray,12,0,0
Muscogee,127,3,2.3622
Newton,73,3,4.1096
Oconee,35,1,2.8571
Oglethorpe,11,1,9.0909
Paulding,69,2,2.8986
Peach,20,2,10.0
Pickens,11,2,18.1818
Pierce,41,2,4.878
Pike,15,0,0
Polk,21,0,0
Pulaski,9,0,0
Putnam,5,0,0
Quitman,4,0,0
Rabun,6,0,0
Randolph,98,5,5.102
Richmond,95,4,4.2105
Rockdale,85,2,2.3529
Schley,12,1,8.3333
Screven,5,0,0
Seminole,12,0,0
Spalding,60,4,6.6667
Stephens,15,0,0
Stewart,6,0,0
Sumter,211,9,4.2654
Talbot,9,1,11.1111
Tattnall,3,0,0
Taylor,6,2,33.3333
Telfair,9,0,0
Terrell,100,10,10.0
Thomas,73,3,4.1096
Tift,56,1,1.7857
Toombs,11,1,9.0909
Towns,3,0,0
Treutlen,1,0,0
Troup,56,3,5.3571
Turner,28,0,0
Twiggs,2,0,0
Unassigned,1246,5,0.4013
Union,6,1,16.6667
Upson,47,0,0
Walker,6,0,0
Walton,36,2,5.5556
Ware,48,4,8.3333
Warren,6,0,0
Washington,21,0,0
Wayne,3,0,0
Webster,3,0,0
Wheeler,2,0,0
White,11,0,0
Whitfield,24,3,12.5
Wilcox,5,0,0
Wilkes,6,0,0
Wilkinson,8,1,12.5
Worth,75,4,5.3333
