South Carolina,3391,82,2.4182
Louisiana,21016,884,4.2063
Virginia,5747,149,2.5927
Idaho,1426,27,1.8934
Iowa,1710,41,2.3977
Kentucky,2018,113,5.5996
Missouri,4515,123,2.7243
Oklahoma,2069,99,4.7849
Colorado,7691,306,3.9787
Illinois,22025,798,3.6232
Indiana,8359,350,4.1871
Mississippi,2942,98,3.3311
Nebraska,814,17,2.0885
Ohio,6975,274,3.9283
Pennsylvania,24292,589,2.4247
Washington,10635,513,4.8237
Wisconsin,3428,154,4.4924
Vermont,748,28,3.7433
Florida,21019,499,2.374
North Carolina,4886,94,1.9239
California,23931,714,2.9836
New York,195749,10058,5.1382
Wyoming,275,1,0.3636
Michigan,25635,1602,6.2493
Maryland,8936,262,2.932
Alaska,277,8,2.8881
Kansas,1390,62,4.4604
Tennessee,5610,109,1.943
Texas,14275,305,2.1366
Maine,698,19,2.7221
Minnesota,1621,70,4.3183
Arizona,3705,122,3.2928
Georgia,13315,465,3.4923
Arkansas,1410,29,2.0567
New Jersey,64584,2443,3.7827
South Dakota,868,6,0.6912
Alabama,3734,99,2.6513
West Virginia,611,8,1.3093
North Dakota,331,8,2.4169
Massachusetts,26867,844,3.1414
Montana,394,7,1.7766
New Hampshire,985,23,2.335
Oregon,1584,53,3.346
New Mexico,1262,26,2.0602
Utah,2363,13,0.5501
Rhode Island,2665,63,2.364
Nevada,2990,114,3.8127
District of Columbia,1955,52,2.6598
Connecticut,13381,602,4.4989
Hawaii,504,9,1.7857
Delaware,1758,41,2.3322
Diamond Princess,49,0,0.0
Grand Princess,103,0,0.0
Guam,133,5,3.7594
Northern Mariana Islands,11,2,18.1818
Puerto Rico,903,45,4.9834
Recovered,0,0,0.0
Virgin Islands,51,1,1.9608
